"response_id","pair_id","prompt_condition","formalised_argumentation_requested","generation_number","randomised_call_order"
"SFR_V3_RECOMMENDED_G0197_AO","sami_father_v3_0197","answer_only","0","197","106"
"SFR_V3_RECOMMENDED_G0058_AO","sami_father_v3_0058","answer_only","0","58","107"
"SFR_V3_RECOMMENDED_G0156_FA","sami_father_v3_0156","formalised_argumentation","1","156","108"
"SFR_V3_RECOMMENDED_G0251_AO","sami_father_v3_0251","answer_only","0","251","109"
"SFR_V3_RECOMMENDED_G0049_FA","sami_father_v3_0049","formalised_argumentation","1","49","110"
"SFR_V3_RECOMMENDED_G0210_FA","sami_father_v3_0210","formalised_argumentation","1","210","111"
"SFR_V3_RECOMMENDED_G0124_AO","sami_father_v3_0124","answer_only","0","124","112"
"SFR_V3_RECOMMENDED_G0282_FA","sami_father_v3_0282","formalised_argumentation","1","282","113"
"SFR_V3_RECOMMENDED_G0026_AO","sami_father_v3_0026","answer_only","0","26","114"
"SFR_V3_RECOMMENDED_G0128_AO","sami_father_v3_0128","answer_only","0","128","115"
"SFR_V3_RECOMMENDED_G0277_FA","sami_father_v3_0277","formalised_argumentation","1","277","116"
"SFR_V3_RECOMMENDED_G0017_AO","sami_father_v3_0017","answer_only","0","17","117"
"SFR_V3_RECOMMENDED_G0050_AO","sami_father_v3_0050","answer_only","0","50","118"
"SFR_V3_RECOMMENDED_G0199_FA","sami_father_v3_0199","formalised_argumentation","1","199","119"
"SFR_V3_RECOMMENDED_G0099_FA","sami_father_v3_0099","formalised_argumentation","1","99","120"
"SFR_V3_RECOMMENDED_G0235_AO","sami_father_v3_0235","answer_only","0","235","121"
"SFR_V3_RECOMMENDED_G0053_FA","sami_father_v3_0053","formalised_argumentation","1","53","122"
"SFR_V3_RECOMMENDED_G0132_AO","sami_father_v3_0132","answer_only","0","132","123"
"SFR_V3_RECOMMENDED_G0087_AO","sami_father_v3_0087","answer_only","0","87","124"
"SFR_V3_RECOMMENDED_G0281_AO","sami_father_v3_0281","answer_only","0","281","125"
"SFR_V3_RECOMMENDED_G0098_FA","sami_father_v3_0098","formalised_argumentation","1","98","126"
"SFR_V3_RECOMMENDED_G0253_AO","sami_father_v3_0253","answer_only","0","253","127"
"SFR_V3_RECOMMENDED_G0094_AO","sami_father_v3_0094","answer_only","0","94","128"
"SFR_V3_RECOMMENDED_G0126_FA","sami_father_v3_0126","formalised_argumentation","1","126","129"
"SFR_V3_RECOMMENDED_G0287_FA","sami_father_v3_0287","formalised_argumentation","1","287","130"
"SFR_V3_RECOMMENDED_G0258_AO","sami_father_v3_0258","answer_only","0","258","131"
"SFR_V3_RECOMMENDED_G0274_AO","sami_father_v3_0274","answer_only","0","274","132"
"SFR_V3_RECOMMENDED_G0196_FA","sami_father_v3_0196","formalised_argumentation","1","196","133"
"SFR_V3_RECOMMENDED_G0097_AO","sami_father_v3_0097","answer_only","0","97","134"
"SFR_V3_RECOMMENDED_G0256_AO","sami_father_v3_0256","answer_only","0","256","135"
"SFR_V3_RECOMMENDED_G0184_FA","sami_father_v3_0184","formalised_argumentation","1","184","136"
"SFR_V3_RECOMMENDED_G0176_AO","sami_father_v3_0176","answer_only","0","176","137"
"SFR_V3_RECOMMENDED_G0123_FA","sami_father_v3_0123","formalised_argumentation","1","123","138"
"SFR_V3_RECOMMENDED_G0150_AO","sami_father_v3_0150","answer_only","0","150","139"
"SFR_V3_RECOMMENDED_G0131_AO","sami_father_v3_0131","answer_only","0","131","140"
"SFR_V3_RECOMMENDED_G0119_FA","sami_father_v3_0119","formalised_argumentation","1","119","141"
"SFR_V3_RECOMMENDED_G0033_AO","sami_father_v3_0033","answer_only","0","33","142"
"SFR_V3_RECOMMENDED_G0164_FA","sami_father_v3_0164","formalised_argumentation","1","164","143"
"SFR_V3_RECOMMENDED_G0248_FA","sami_father_v3_0248","formalised_argumentation","1","248","144"
"SFR_V3_RECOMMENDED_G0288_FA","sami_father_v3_0288","formalised_argumentation","1","288","145"
"SFR_V3_RECOMMENDED_G0152_FA","sami_father_v3_0152","formalised_argumentation","1","152","146"
"SFR_V3_RECOMMENDED_G0053_AO","sami_father_v3_0053","answer_only","0","53","147"
"SFR_V3_RECOMMENDED_G0154_AO","sami_father_v3_0154","answer_only","0","154","148"
"SFR_V3_RECOMMENDED_G0177_AO","sami_father_v3_0177","answer_only","0","177","149"
"SFR_V3_RECOMMENDED_G0019_AO","sami_father_v3_0019","answer_only","0","19","150"
"SFR_V3_RECOMMENDED_G0267_AO","sami_father_v3_0267","answer_only","0","267","151"
"SFR_V3_RECOMMENDED_G0198_FA","sami_father_v3_0198","formalised_argumentation","1","198","152"
"SFR_V3_RECOMMENDED_G0116_FA","sami_father_v3_0116","formalised_argumentation","1","116","153"
"SFR_V3_RECOMMENDED_G0220_AO","sami_father_v3_0220","answer_only","0","220","154"
"SFR_V3_RECOMMENDED_G0273_FA","sami_father_v3_0273","formalised_argumentation","1","273","155"
"SFR_V3_RECOMMENDED_G0174_AO","sami_father_v3_0174","answer_only","0","174","156"
"SFR_V3_RECOMMENDED_G0227_FA","sami_father_v3_0227","formalised_argumentation","1","227","157"
"SFR_V3_RECOMMENDED_G0213_AO","sami_father_v3_0213","answer_only","0","213","158"
"SFR_V3_RECOMMENDED_G0222_AO","sami_father_v3_0222","answer_only","0","222","159"
"SFR_V3_RECOMMENDED_G0192_FA","sami_father_v3_0192","formalised_argumentation","1","192","160"
"SFR_V3_RECOMMENDED_G0103_AO","sami_father_v3_0103","answer_only","0","103","161"
"SFR_V3_RECOMMENDED_G0230_FA","sami_father_v3_0230","formalised_argumentation","1","230","162"
"SFR_V3_RECOMMENDED_G0272_FA","sami_father_v3_0272","formalised_argumentation","1","272","163"
"SFR_V3_RECOMMENDED_G0197_FA","sami_father_v3_0197","formalised_argumentation","1","197","164"
"SFR_V3_RECOMMENDED_G0065_AO","sami_father_v3_0065","answer_only","0","65","165"
"SFR_V3_RECOMMENDED_G0062_AO","sami_father_v3_0062","answer_only","0","62","166"
"SFR_V3_RECOMMENDED_G0268_FA","sami_father_v3_0268","formalised_argumentation","1","268","167"
"SFR_V3_RECOMMENDED_G0243_AO","sami_father_v3_0243","answer_only","0","243","168"
"SFR_V3_RECOMMENDED_G0037_FA","sami_father_v3_0037","formalised_argumentation","1","37","169"
"SFR_V3_RECOMMENDED_G0182_FA","sami_father_v3_0182","formalised_argumentation","1","182","170"
"SFR_V3_RECOMMENDED_G0111_AO","sami_father_v3_0111","answer_only","0","111","171"
"SFR_V3_RECOMMENDED_G0115_AO","sami_father_v3_0115","answer_only","0","115","172"
"SFR_V3_RECOMMENDED_G0012_FA","sami_father_v3_0012","formalised_argumentation","1","12","173"
"SFR_V3_RECOMMENDED_G0043_FA","sami_father_v3_0043","formalised_argumentation","1","43","174"
"SFR_V3_RECOMMENDED_G0092_FA","sami_father_v3_0092","formalised_argumentation","1","92","175"
"SFR_V3_RECOMMENDED_G0208_AO","sami_father_v3_0208","answer_only","0","208","176"
"SFR_V3_RECOMMENDED_G0119_AO","sami_father_v3_0119","answer_only","0","119","177"
"SFR_V3_RECOMMENDED_G0004_FA","sami_father_v3_0004","formalised_argumentation","1","4","178"
"SFR_V3_RECOMMENDED_G0166_FA","sami_father_v3_0166","formalised_argumentation","1","166","179"
"SFR_V3_RECOMMENDED_G0022_FA","sami_father_v3_0022","formalised_argumentation","1","22","180"
"SFR_V3_RECOMMENDED_G0101_FA","sami_father_v3_0101","formalised_argumentation","1","101","181"
"SFR_V3_RECOMMENDED_G0262_FA","sami_father_v3_0262","formalised_argumentation","1","262","182"
"SFR_V3_RECOMMENDED_G0079_AO","sami_father_v3_0079","answer_only","0","79","183"
"SFR_V3_RECOMMENDED_G0127_FA","sami_father_v3_0127","formalised_argumentation","1","127","184"
"SFR_V3_RECOMMENDED_G0081_AO","sami_father_v3_0081","answer_only","0","81","185"
"SFR_V3_RECOMMENDED_G0068_AO","sami_father_v3_0068","answer_only","0","68","186"
"SFR_V3_RECOMMENDED_G0284_FA","sami_father_v3_0284","formalised_argumentation","1","284","187"
"SFR_V3_RECOMMENDED_G0217_FA","sami_father_v3_0217","formalised_argumentation","1","217","188"
"SFR_V3_RECOMMENDED_G0122_AO","sami_father_v3_0122","answer_only","0","122","189"
"SFR_V3_RECOMMENDED_G0207_FA","sami_father_v3_0207","formalised_argumentation","1","207","190"
"SFR_V3_RECOMMENDED_G0120_FA","sami_father_v3_0120","formalised_argumentation","1","120","191"
"SFR_V3_RECOMMENDED_G0225_FA","sami_father_v3_0225","formalised_argumentation","1","225","192"
"SFR_V3_RECOMMENDED_G0148_FA","sami_father_v3_0148","formalised_argumentation","1","148","193"
"SFR_V3_RECOMMENDED_G0237_AO","sami_father_v3_0237","answer_only","0","237","194"
"SFR_V3_RECOMMENDED_G0232_AO","sami_father_v3_0232","answer_only","0","232","195"
"SFR_V3_RECOMMENDED_G0043_AO","sami_father_v3_0043","answer_only","0","43","196"
"SFR_V3_RECOMMENDED_G0273_AO","sami_father_v3_0273","answer_only","0","273","197"
"SFR_V3_RECOMMENDED_G0243_FA","sami_father_v3_0243","formalised_argumentation","1","243","198"
"SFR_V3_RECOMMENDED_G0072_FA","sami_father_v3_0072","formalised_argumentation","1","72","199"
"SFR_V3_RECOMMENDED_G0074_AO","sami_father_v3_0074","answer_only","0","74","200"
"SFR_V3_RECOMMENDED_G0239_FA","sami_father_v3_0239","formalised_argumentation","1","239","201"
"SFR_V3_RECOMMENDED_G0085_AO","sami_father_v3_0085","answer_only","0","85","202"
"SFR_V3_RECOMMENDED_G0274_FA","sami_father_v3_0274","formalised_argumentation","1","274","203"
"SFR_V3_RECOMMENDED_G0011_FA","sami_father_v3_0011","formalised_argumentation","1","11","204"
"SFR_V3_RECOMMENDED_G0206_AO","sami_father_v3_0206","answer_only","0","206","205"
"SFR_V3_RECOMMENDED_G0255_FA","sami_father_v3_0255","formalised_argumentation","1","255","206"
"SFR_V3_RECOMMENDED_G0245_FA","sami_father_v3_0245","formalised_argumentation","1","245","207"
"SFR_V3_RECOMMENDED_G0052_FA","sami_father_v3_0052","formalised_argumentation","1","52","208"
"SFR_V3_RECOMMENDED_G0041_FA","sami_father_v3_0041","formalised_argumentation","1","41","209"
"SFR_V3_RECOMMENDED_G0259_AO","sami_father_v3_0259","answer_only","0","259","210"
"SFR_V3_RECOMMENDED_G0018_AO","sami_father_v3_0018","answer_only","0","18","211"
"SFR_V3_RECOMMENDED_G0031_FA","sami_father_v3_0031","formalised_argumentation","1","31","212"
"SFR_V3_RECOMMENDED_G0287_AO","sami_father_v3_0287","answer_only","0","287","213"
"SFR_V3_RECOMMENDED_G0216_AO","sami_father_v3_0216","answer_only","0","216","214"
"SFR_V3_RECOMMENDED_G0022_AO","sami_father_v3_0022","answer_only","0","22","215"
"SFR_V3_RECOMMENDED_G0149_AO","sami_father_v3_0149","answer_only","0","149","216"
"SFR_V3_RECOMMENDED_G0200_AO","sami_father_v3_0200","answer_only","0","200","217"
"SFR_V3_RECOMMENDED_G0167_AO","sami_father_v3_0167","answer_only","0","167","218"
"SFR_V3_RECOMMENDED_G0249_FA","sami_father_v3_0249","formalised_argumentation","1","249","219"
"SFR_V3_RECOMMENDED_G0141_AO","sami_father_v3_0141","answer_only","0","141","220"
"SFR_V3_RECOMMENDED_G0096_FA","sami_father_v3_0096","formalised_argumentation","1","96","221"
"SFR_V3_RECOMMENDED_G0187_FA","sami_father_v3_0187","formalised_argumentation","1","187","222"
"SFR_V3_RECOMMENDED_G0155_AO","sami_father_v3_0155","answer_only","0","155","223"
"SFR_V3_RECOMMENDED_G0211_AO","sami_father_v3_0211","answer_only","0","211","224"
"SFR_V3_RECOMMENDED_G0060_FA","sami_father_v3_0060","formalised_argumentation","1","60","225"
"SFR_V3_RECOMMENDED_G0008_FA","sami_father_v3_0008","formalised_argumentation","1","8","226"
"SFR_V3_RECOMMENDED_G0246_AO","sami_father_v3_0246","answer_only","0","246","227"
"SFR_V3_RECOMMENDED_G0090_FA","sami_father_v3_0090","formalised_argumentation","1","90","228"
"SFR_V3_RECOMMENDED_G0285_AO","sami_father_v3_0285","answer_only","0","285","229"
"SFR_V3_RECOMMENDED_G0109_AO","sami_father_v3_0109","answer_only","0","109","230"
"SFR_V3_RECOMMENDED_G0020_AO","sami_father_v3_0020","answer_only","0","20","231"
"SFR_V3_RECOMMENDED_G0262_AO","sami_father_v3_0262","answer_only","0","262","232"
"SFR_V3_RECOMMENDED_G0025_AO","sami_father_v3_0025","answer_only","0","25","233"
"SFR_V3_RECOMMENDED_G0062_FA","sami_father_v3_0062","formalised_argumentation","1","62","234"
"SFR_V3_RECOMMENDED_G0276_FA","sami_father_v3_0276","formalised_argumentation","1","276","235"
"SFR_V3_RECOMMENDED_G0068_FA","sami_father_v3_0068","formalised_argumentation","1","68","236"
"SFR_V3_RECOMMENDED_G0129_FA","sami_father_v3_0129","formalised_argumentation","1","129","237"
"SFR_V3_RECOMMENDED_G0181_AO","sami_father_v3_0181","answer_only","0","181","238"
"SFR_V3_RECOMMENDED_G0261_AO","sami_father_v3_0261","answer_only","0","261","239"
"SFR_V3_RECOMMENDED_G0241_AO","sami_father_v3_0241","answer_only","0","241","240"
"SFR_V3_RECOMMENDED_G0106_FA","sami_father_v3_0106","formalised_argumentation","1","106","241"
"SFR_V3_RECOMMENDED_G0205_FA","sami_father_v3_0205","formalised_argumentation","1","205","242"
"SFR_V3_RECOMMENDED_G0060_AO","sami_father_v3_0060","answer_only","0","60","243"
"SFR_V3_RECOMMENDED_G0056_FA","sami_father_v3_0056","formalised_argumentation","1","56","244"
"SFR_V3_RECOMMENDED_G0086_FA","sami_father_v3_0086","formalised_argumentation","1","86","245"
"SFR_V3_RECOMMENDED_G0200_FA","sami_father_v3_0200","formalised_argumentation","1","200","246"
"SFR_V3_RECOMMENDED_G0278_AO","sami_father_v3_0278","answer_only","0","278","247"
"SFR_V3_RECOMMENDED_G0143_AO","sami_father_v3_0143","answer_only","0","143","248"
"SFR_V3_RECOMMENDED_G0134_AO","sami_father_v3_0134","answer_only","0","134","249"
"SFR_V3_RECOMMENDED_G0057_AO","sami_father_v3_0057","answer_only","0","57","250"
"SFR_V3_RECOMMENDED_G0275_FA","sami_father_v3_0275","formalised_argumentation","1","275","251"
"SFR_V3_RECOMMENDED_G0127_AO","sami_father_v3_0127","answer_only","0","127","252"
"SFR_V3_RECOMMENDED_G0265_AO","sami_father_v3_0265","answer_only","0","265","253"
"SFR_V3_RECOMMENDED_G0133_FA","sami_father_v3_0133","formalised_argumentation","1","133","254"
"SFR_V3_RECOMMENDED_G0168_FA","sami_father_v3_0168","formalised_argumentation","1","168","255"
"SFR_V3_RECOMMENDED_G0260_FA","sami_father_v3_0260","formalised_argumentation","1","260","256"
"SFR_V3_RECOMMENDED_G0180_FA","sami_father_v3_0180","formalised_argumentation","1","180","257"
"SFR_V3_RECOMMENDED_G0170_AO","sami_father_v3_0170","answer_only","0","170","258"
"SFR_V3_RECOMMENDED_G0080_AO","sami_father_v3_0080","answer_only","0","80","259"
"SFR_V3_RECOMMENDED_G0025_FA","sami_father_v3_0025","formalised_argumentation","1","25","260"
"SFR_V3_RECOMMENDED_G0188_AO","sami_father_v3_0188","answer_only","0","188","261"
"SFR_V3_RECOMMENDED_G0147_AO","sami_father_v3_0147","answer_only","0","147","262"
"SFR_V3_RECOMMENDED_G0236_FA","sami_father_v3_0236","formalised_argumentation","1","236","263"
"SFR_V3_RECOMMENDED_G0206_FA","sami_father_v3_0206","formalised_argumentation","1","206","264"
"SFR_V3_RECOMMENDED_G0032_AO","sami_father_v3_0032","answer_only","0","32","265"
"SFR_V3_RECOMMENDED_G0078_AO","sami_father_v3_0078","answer_only","0","78","266"
"SFR_V3_RECOMMENDED_G0021_FA","sami_father_v3_0021","formalised_argumentation","1","21","267"
"SFR_V3_RECOMMENDED_G0018_FA","sami_father_v3_0018","formalised_argumentation","1","18","268"
"SFR_V3_RECOMMENDED_G0036_AO","sami_father_v3_0036","answer_only","0","36","269"
"SFR_V3_RECOMMENDED_G0092_AO","sami_father_v3_0092","answer_only","0","92","270"
"SFR_V3_RECOMMENDED_G0007_FA","sami_father_v3_0007","formalised_argumentation","1","7","271"
"SFR_V3_RECOMMENDED_G0169_FA","sami_father_v3_0169","formalised_argumentation","1","169","272"
"SFR_V3_RECOMMENDED_G0266_AO","sami_father_v3_0266","answer_only","0","266","273"
"SFR_V3_RECOMMENDED_G0088_FA","sami_father_v3_0088","formalised_argumentation","1","88","274"
"SFR_V3_RECOMMENDED_G0140_AO","sami_father_v3_0140","answer_only","0","140","275"
"SFR_V3_RECOMMENDED_G0224_AO","sami_father_v3_0224","answer_only","0","224","276"
"SFR_V3_RECOMMENDED_G0038_AO","sami_father_v3_0038","answer_only","0","38","277"
"SFR_V3_RECOMMENDED_G0214_AO","sami_father_v3_0214","answer_only","0","214","278"
"SFR_V3_RECOMMENDED_G0054_AO","sami_father_v3_0054","answer_only","0","54","279"
"SFR_V3_RECOMMENDED_G0009_AO","sami_father_v3_0009","answer_only","0","9","280"
"SFR_V3_RECOMMENDED_G0056_AO","sami_father_v3_0056","answer_only","0","56","281"
"SFR_V3_RECOMMENDED_G0028_FA","sami_father_v3_0028","formalised_argumentation","1","28","282"
"SFR_V3_RECOMMENDED_G0174_FA","sami_father_v3_0174","formalised_argumentation","1","174","283"
"SFR_V3_RECOMMENDED_G0253_FA","sami_father_v3_0253","formalised_argumentation","1","253","284"
